"Model","Year","Region","Color","Fuel_Type","Transmission","Engine_Size_L","Mileage_KM","Price_USD","Sales_Volume","Sales_Classification"
"5 Series",2016,"Asia","Red","Petrol","Manual",3.5,151748,52325,8300,"High"
"i8",2013,"North America","Red","Hybrid","Automatic",1.6,121671,141833,3428,"Low"
"5 Series",2022,"North America","Blue","Petrol","Automatic",4.5,10991,86401,6994,"Low"
"X3",2024,"Middle East","Blue","Petrol","Automatic",1.7,27255,67274,4047,"Low"
"7 Series",2020,"South America","Black","Diesel","Manual",2.1,122131,88287,3080,"Low"
"5 Series",2017,"Middle East","Silver","Diesel","Manual",1.9,171362,44864,1232,"Low"
"i8",2022,"Europe","White","Diesel","Manual",1.8,196741,198326,7949,"High"
"M5",2014,"Asia","Black","Diesel","Automatic",1.6,121156,100884,632,"Low"
"X3",2016,"South America","White","Diesel","Automatic",1.7,48073,47193,8944,"High"
"i8",2019,"Europe","White","Electric","Manual",3,35700,199430,4411,"Low"
"3 Series",2012,"Middle East","White","Electric","Manual",2.4,101595,30840,500,"Low"
"i8",2016,"North America","Blue","Hybrid","Manual",1.9,116863,164814,8252,"High"
"7 Series",2020,"North America","Silver","Diesel","Automatic",3.8,27403,106260,8111,"High"
"5 Series",2020,"Africa","White","Electric","Manual",2.3,163444,55156,4668,"Low"
"X1",2017,"Asia","Black","Electric","Automatic",1.6,107918,29458,7291,"High"
"M3",2014,"North America","Silver","Hybrid","Manual",3,154050,68595,7765,"High"
"X5",2013,"Asia","Blue","Electric","Manual",2.6,110142,55986,5561,"Low"
"M5",2017,"North America","Red","Diesel","Automatic",2.6,86900,124310,9755,"High"
"5 Series",2017,"North America","Silver","Electric","Manual",3.1,57843,62216,4880,"Low"
"X5",2012,"Africa","Blue","Electric","Manual",3.8,142243,55776,7104,"High"
"X3",2015,"North America","Red","Diesel","Automatic",3.7,123910,47359,8635,"High"
"X1",2014,"Africa","White","Petrol","Manual",4.8,13568,49643,1113,"Low"
"M5",2011,"Europe","Grey","Electric","Automatic",3.3,78042,98696,9383,"High"
"7 Series",2017,"North America","Black","Petrol","Automatic",3.2,58288,89671,7521,"High"
"X5",2021,"South America","Red","Diesel","Manual",2.2,184981,70502,6273,"Low"
"X3",2023,"Middle East","White","Electric","Automatic",4.1,194398,60310,4645,"Low"
"M3",2015,"Asia","Red","Hybrid","Manual",2,41514,78349,8897,"High"
"X1",2011,"North America","Black","Hybrid","Automatic",3.2,104742,27276,6481,"Low"
"M5",2021,"Asia","Red","Hybrid","Automatic",3,105162,144484,9469,"High"
"M3",2014,"Asia","White","Electric","Automatic",3.8,90282,78972,1440,"Low"
"i8",2010,"South America","Black","Hybrid","Automatic",4.7,16020,146898,5006,"Low"
"i8",2021,"South America","Silver","Diesel","Manual",4.8,3188,225681,448,"Low"
"M5",2019,"Asia","Red","Diesel","Manual",2.1,97294,130771,4091,"Low"
"i8",2015,"Asia","White","Hybrid","Automatic",2.4,194395,152560,3384,"Low"
"X1",2022,"Middle East","Grey","Hybrid","Manual",4.3,143013,48199,4926,"Low"
"M5",2021,"South America","Grey","Petrol","Automatic",3.3,88342,147666,4561,"Low"
"X3",2018,"Middle East","White","Petrol","Manual",3.1,33370,60163,8046,"High"
"i8",2010,"Middle East","Grey","Petrol","Automatic",4,98514,135149,2278,"Low"
"M3",2020,"Africa","Black","Petrol","Manual",3.6,82668,99733,3929,"Low"
"X5",2020,"Middle East","White","Hybrid","Automatic",4.9,132299,86270,7110,"High"
"i3",2024,"Middle East","Red","Petrol","Automatic",3.5,135958,65404,173,"Low"
"M5",2019,"South America","White","Diesel","Manual",3.1,192690,126231,5946,"Low"
"X5",2021,"Africa","Red","Diesel","Manual",3.4,99697,85030,2913,"Low"
