"Model","Year","Region","Color","Fuel_Type","Transmission","Engine_Size_L","Mileage_KM","Price_USD","Sales_Volume","Sales_Classification"
"5 Series",2024,"Asia","Red","Petrol","Manual",3.5,14217,101908,1802,"Low"
"i8",2015,"North America","Red","Hybrid","Automatic",1.6,176031,62071,3943,"High"
"5 Series",2016,"North America","Blue","Petrol","Automatic",4.5,156584,73603,3326,"High"
"X3",2022,"Middle East","Blue","Petrol","Automatic",1.7,36717,86691,2249,"Low"
"7 Series",2021,"South America","Black","Diesel","Manual",2.1,63871,86325,3163,"Low"
"5 Series",2022,"Middle East","Silver","Diesel","Manual",1.9,54095,89486,3067,"Low"
"i8",2018,"Europe","White","Diesel","Manual",1.8,56259,78026,4367,"High"
"M5",2021,"Asia","Black","Diesel","Automatic",1.6,64045,78779,2598,"Low"
"X3",2022,"South America","White","Diesel","Automatic",1.7,23879,94922,2933,"Low"
"i8",2024,"Europe","White","Electric","Manual",3,42345,87461,3120,"Low"
"3 Series",2024,"Middle East","White","Electric","Manual",2.4,28685,87779,4969,"High"
"i8",2023,"North America","Blue","Hybrid","Manual",1.9,56261,88607,588,"Low"
"7 Series",2018,"North America","Silver","Diesel","Automatic",3.8,103085,78235,4675,"High"
"5 Series",2023,"Africa","White","Electric","Manual",2.3,34995,89808,2294,"Low"
"X1",2014,"Asia","Black","Electric","Automatic",1.6,163368,58251,3879,"High"
"M3",2020,"North America","Silver","Hybrid","Manual",3,83364,77064,2508,"Low"
"X5",2024,"Asia","Blue","Electric","Manual",2.6,33123,89807,1578,"Low"
"M5",2022,"North America","Red","Diesel","Automatic",2.6,49971,103984,1136,"Low"
"5 Series",2018,"North America","Silver","Electric","Manual",3.1,136480,70032,5852,"High"
"X5",2014,"Africa","Blue","Electric","Manual",3.8,132600,66992,4195,"High"
"X3",2021,"North America","Red","Diesel","Automatic",3.7,61559,91248,4141,"High"
"X1",2019,"Africa","White","Petrol","Manual",4.8,79585,91538,5164,"High"
"M5",2017,"Europe","Grey","Electric","Automatic",3.3,156159,65945,6717,"High"
"7 Series",2023,"North America","Black","Petrol","Automatic",3.2,55772,94027,1644,"Low"
