"Model","Year","Region","Color","Fuel_Type","Transmission","Engine_Size_L","Mileage_KM","Price_USD","Sales_Volume","Sales_Classification"
"5 Series",2012,"Asia","Red","Petrol","Manual",3.5,236548,52493,5067,"High"
"i8",2021,"North America","Red","Hybrid","Automatic",1.6,61617,77774,3128,"Low"
"5 Series",2018,"North America","Blue","Petrol","Automatic",4.5,113243,88770,1966,"Low"
"X3",2015,"Middle East","Blue","Petrol","Automatic",1.7,181376,64168,4144,"High"
"7 Series",2019,"South America","Black","Diesel","Manual",2.1,79276,75845,5428,"High"
"5 Series",2024,"Middle East","Silver","Diesel","Manual",1.9,1000,98797,1549,"Low"
"i8",2024,"Europe","White","Diesel","Manual",1.8,2037,99364,1526,"Low"
"M5",2020,"Asia","Black","Diesel","Automatic",1.6,67936,81297,1880,"Low"
"X3",2014,"South America","White","Diesel","Automatic",1.7,164503,60905,3795,"High"
"i8",2022,"Europe","White","Electric","Manual",3,50672,90188,2697,"Low"
"3 Series",2023,"Middle East","White","Electric","Manual",2.4,30750,94857,2129,"Low"
"i8",2016,"North America","Blue","Hybrid","Manual",1.9,166601,59872,6494,"High"
"7 Series",2019,"North America","Silver","Diesel","Automatic",3.8,76615,89802,2659,"Low"
"5 Series",2023,"Africa","White","Electric","Manual",2.3,25555,97618,3263,"Low"
"X1",2011,"Asia","Black","Electric","Automatic",1.6,207922,51117,4273,"High"
"M3",2012,"North America","Silver","Hybrid","Manual",3,206305,57785,5586,"High"
"X5",2016,"Asia","Blue","Electric","Manual",2.6,142649,68462,3261,"Low"
"M5",2021,"North America","Red","Diesel","Automatic",2.6,36479,103795,471,"Low"
"5 Series",2022,"North America","Silver","Electric","Manual",3.1,46622,94189,3190,"Low"
"X5",2024,"Africa","Blue","Electric","Manual",3.8,29941,92194,2156,"Low"
"X3",2022,"North America","Red","Diesel","Automatic",3.7,45012,89576,2988,"Low"
"X1",2018,"Africa","White","Petrol","Manual",4.8,123368,79937,2947,"Low"
"M5",2019,"Europe","Grey","Electric","Automatic",3.3,74968,84631,4652,"High"
"7 Series",2024,"North America","Black","Petrol","Automatic",3.2,43929,97249,2696,"Low"
"X5",2021,"South America","Red","Diesel","Manual",2.2,35419,92412,4297,"High"
"X3",2022,"Middle East","White","Electric","Automatic",4.1,58225,96826,2842,"Low"
"M3",2022,"Asia","Red","Hybrid","Manual",2,56146,81729,2851,"Low"
"X1",2022,"North America","Black","Hybrid","Automatic",3.2,37527,96896,100,"Low"
"M5",2016,"Asia","Red","Hybrid","Automatic",3,134413,74785,3122,"Low"
"M3",2018,"Asia","White","Electric","Automatic",3.8,82817,82438,3117,"Low"
"i8",2015,"South America","Black","Hybrid","Automatic",4.7,164798,78824,3818,"High"
"i8",2011,"South America","Silver","Diesel","Manual",4.8,212081,52261,6795,"High"
"M5",2024,"Asia","Red","Diesel","Manual",2.1,34115,86187,3457,"High"
"i8",2024,"Asia","White","Hybrid","Automatic",2.4,68616,90938,2078,"Low"
"X1",2018,"Middle East","Grey","Hybrid","Manual",4.3,114404,84516,2710,"Low"
"M5",2024,"South America","Grey","Petrol","Automatic",3.3,11987,102380,1989,"Low"
"X3",2024,"Middle East","White","Petrol","Manual",3.1,8063,93538,4589,"High"
"i8",2016,"Middle East","Grey","Petrol","Automatic",4,172346,72193,2596,"Low"
"M3",2018,"Africa","Black","Petrol","Manual",3.6,97659,83329,3840,"High"
"X5",2016,"Middle East","White","Hybrid","Automatic",4.9,122629,91371,2811,"Low"
"i3",2019,"Middle East","Red","Petrol","Automatic",3.5,92357,80514,3800,"High"
"M5",2015,"South America","White","Diesel","Manual",3.1,178027,63310,4908,"High"
