"Model","Year","Region","Color","Fuel_Type","Transmission","Engine_Size_L","Mileage_KM","Price_USD","Sales_Volume","Sales_Classification"
"5 Series",2012,"Asia","Red","Petrol","Manual",3.5,236548,62992,7600,"High"
"i8",2021,"North America","Red","Hybrid","Automatic",1.6,61617,73885,3754,"Low"
"5 Series",2018,"North America","Blue","Petrol","Automatic",4.5,113243,84332,2359,"Low"
"X3",2015,"Middle East","Blue","Petrol","Automatic",1.7,181376,73793,2072,"High"
"7 Series",2019,"South America","Black","Diesel","Manual",2.1,79276,106183,2171,"High"
"5 Series",2024,"Middle East","Silver","Diesel","Manual",1.9,1000,113617,774,"Low"
"i8",2024,"Europe","White","Diesel","Manual",1.8,2037,99364,1679,"Low"
"M5",2020,"Asia","Black","Diesel","Automatic",1.6,67936,97556,2820,"Low"
"X3",2014,"South America","White","Diesel","Automatic",1.7,164503,85267,1518,"High"
"i8",2022,"Europe","White","Electric","Manual",3,50672,90188,2967,"Low"
"3 Series",2023,"Middle East","White","Electric","Manual",2.4,30750,109086,1064,"Low"
"i8",2016,"North America","Blue","Hybrid","Manual",1.9,166601,56878,7793,"High"
"7 Series",2019,"North America","Silver","Diesel","Automatic",3.8,76615,85312,3191,"Low"
"5 Series",2023,"Africa","White","Electric","Manual",2.3,25555,126903,979,"Low"
"X1",2011,"Asia","Black","Electric","Automatic",1.6,207922,61340,6410,"High"
"M3",2012,"North America","Silver","Hybrid","Manual",3,206305,54896,6703,"High"
"X5",2016,"Asia","Blue","Electric","Manual",2.6,142649,82154,4892,"Low"
"M5",2021,"North America","Red","Diesel","Automatic",2.6,36479,98605,565,"Low"
"5 Series",2022,"North America","Silver","Electric","Manual",3.1,46622,89480,3828,"Low"
"X5",2024,"Africa","Blue","Electric","Manual",3.8,29941,119852,647,"Low"
"X3",2022,"North America","Red","Diesel","Automatic",3.7,45012,85097,3586,"Low"
"X1",2018,"Africa","White","Petrol","Manual",4.8,123368,103918,884,"Low"
"M5",2019,"Europe","Grey","Electric","Automatic",3.3,74968,84631,5117,"High"
"7 Series",2024,"North America","Black","Petrol","Automatic",3.2,43929,92387,3235,"Low"
"X5",2021,"South America","Red","Diesel","Manual",2.2,35419,129377,1719,"High"
"X3",2022,"Middle East","White","Electric","Automatic",4.1,58225,111350,1421,"Low"
"M3",2022,"Asia","Red","Hybrid","Manual",2,56146,98075,4276,"Low"
"X1",2022,"North America","Black","Hybrid","Automatic",3.2,37527,92051,120,"Low"
"M5",2016,"Asia","Red","Hybrid","Automatic",3,134413,89742,4683,"Low"
"M3",2018,"Asia","White","Electric","Automatic",3.8,82817,98926,4676,"Low"
"i8",2015,"South America","Black","Hybrid","Automatic",4.7,164798,110354,1527,"High"
"i8",2011,"South America","Silver","Diesel","Manual",4.8,212081,73165,2718,"High"
"M5",2024,"Asia","Red","Diesel","Manual",2.1,34115,103424,5186,"High"
"i8",2024,"Asia","White","Hybrid","Automatic",2.4,68616,109126,3117,"Low"
"X1",2018,"Middle East","Grey","Hybrid","Manual",4.3,114404,97193,1355,"Low"
"M5",2024,"South America","Grey","Petrol","Automatic",3.3,11987,143332,796,"Low"
"X3",2024,"Middle East","White","Petrol","Manual",3.1,8063,107569,2294,"High"
"i8",2016,"Middle East","Grey","Petrol","Automatic",4,172346,83022,1298,"Low"
"M3",2018,"Africa","Black","Petrol","Manual",3.6,97659,108328,1152,"High"
"X5",2016,"Middle East","White","Hybrid","Automatic",4.9,122629,105077,1406,"Low"
"i3",2019,"Middle East","Red","Petrol","Automatic",3.5,92357,92591,1900,"High"
"M5",2015,"South America","White","Diesel","Manual",3.1,178027,88634,1963,"High"
"X5",2023,"Africa","Red","Diesel","Manual",3.4,7991,139000,569,"Low"
"X5",2020,"Middle East","Black","Petrol","Automatic",4.3,103306,113161,558,"Low"
"X5",2023,"South America","Black","Hybrid","Manual",3.6,30880,141429,556,"Low"
"i8",2020,"Europe","Blue","Diesel","Automatic",3.8,53389,92532,977,"Low"
"i3",2018,"North America","Silver","Petrol","Automatic",4.9,107868,79174,2645,"Low"
"5 Series",2020,"Asia","Blue","Electric","Manual",3.7,59094,106222,7083,"High"
"X6",2015,"Africa","White","Hybrid","Automatic",2.8,163899,90226,1357,"High"
"i3",2023,"Asia","White","Hybrid","Manual",3.9,22562,123119,792,"Low"
"X3",2019,"Asia","Silver","Hybrid","Automatic",3.8,93618,106434,3848,"Low"
"M3",2020,"Africa","Black","Hybrid","Manual",1.5,93819,100040,1432,"High"
"i8",2019,"Middle East","White","Petrol","Manual",3.1,87291,96171,2107,"High"
"i3",2022,"South America","Red","Petrol","Manual",4.1,61629,133795,1130,"Low"
"i8",2011,"Middle East","Red","Diesel","Automatic",3.2,185924,72149,2346,"High"
"M5",2023,"South America","Red","Electric","Automatic",4.2,60828,138187,1142,"Low"
"X5",2023,"Middle East","Black","Petrol","Manual",3.1,47552,99342,1798,"High"
"X6",2021,"South America","Silver","Hybrid","Automatic",4.9,74048,153061,404,"Low"
"M3",2015,"Europe","Red","Electric","Manual",2.5,170078,59973,6816,"High"
"3 Series",2020,"Africa","Black","Electric","Manual",1.8,67634,101273,893,"Low"
"M3",2021,"South America","Grey","Electric","Automatic",3,93079,115556,1146,"Low"
"X6",2016,"Middle East","Blue","Diesel","Automatic",3.4,100553,89274,1843,"High"
"i8",2016,"South America","Black","Diesel","Manual",2.7,118929,101864,2208,"High"
"X6",2021,"Asia","Red","Electric","Manual",2.3,34786,95942,4554,"Low"
"3 Series",2024,"North America","Black","Hybrid","Automatic",3.9,37716,98824,1663,"Low"
"3 Series",2020,"Europe","Black","Electric","Manual",2.8,68251,77843,4464,"High"
"M3",2021,"Asia","Red","Diesel","Automatic",3.7,81153,111678,4696,"Low"
"X3",2012,"Asia","Silver","Electric","Automatic",4.2,204384,83155,5556,"High"
"7 Series",2024,"Middle East","Blue","Petrol","Manual",4.2,38303,127967,1581,"Low"
"3 Series",2024,"South America","Silver","Hybrid","Manual",2.8,8778,136283,1706,"High"
"X6",2021,"Europe","Grey","Diesel","Manual",3.5,70240,91324,3538,"Low"
"5 Series",2017,"Middle East","Red","Hybrid","Automatic",3.1,144763,82270,1846,"High"
"7 Series",2021,"Asia","Red","Hybrid","Manual",4.5,62029,107514,5946,"High"
"i3",2024,"South America","Red","Electric","Manual",4.6,10435,135157,1089,"Low"
"X1",2024,"Europe","Red","Petrol","Automatic",2.7,1000,100526,3123,"Low"
"i3",2023,"North America","Silver","Electric","Automatic",1.8,45993,89633,1114,"Low"
"X1",2024,"Europe","Black","Petrol","Manual",2.1,27654,88353,3003,"Low"
"X3",2016,"North America","Grey","Electric","Manual",2.8,95566,76195,5018,"High"
"X3",2020,"Middle East","Grey","Petrol","Manual",3.5,123424,87065,2503,"High"
"M3",2024,"North America","Grey","Hybrid","Automatic",3.8,1000,100401,2209,"Low"
"M5",2024,"North America","Black","Diesel","Manual",2.7,37558,93179,2233,"Low"
"7 Series",2016,"South America","Silver","Petrol","Manual",3.8,127602,95337,1540,"High"
"7 Series",2017,"North America","Grey","Diesel","Automatic",4.8,106205,80184,6098,"High"
"X6",2020,"Europe","Red","Hybrid","Manual",3.8,88281,80464,4619,"High"
"i8",2022,"Middle East","Grey","Petrol","Manual",2.1,61389,90870,2396,"High"
"M5",2021,"North America","Grey","Hybrid","Automatic",3.5,94334,88130,3130,"Low"
"M5",2021,"South America","White","Petrol","Manual",3.4,56617,131804,404,"Low"
"X6",2019,"South America","White","Hybrid","Manual",4.5,74805,123858,1254,"Low"
"i8",2023,"Middle East","Grey","Diesel","Automatic",2.7,25962,110805,924,"Low"
"X3",2021,"Europe","Red","Hybrid","Manual",3,86097,94528,3274,"Low"
"i8",2021,"Middle East","Black","Electric","Manual",3.6,50181,100494,1616,"Low"
"X5",2015,"Middle East","Black","Hybrid","Automatic",3.3,159922,83665,2376,"High"
